data,casa,fora,odd_casa,odd_empate,odd_fora
2021-06-30,Brusque,Grêmio Esportivo Brasil,1.91,3.10,4.5
2021-06-30,Ponte Preta,CSA,2.26,2.89,3.59
2021-06-30,CRB,Náutico,3.17,3.19,2.27
2021-06-30,Clube Do Remo,Sampaio Corrêa,2.63,2.79,3.03
2021-06-29,Confiança,Coritiba,2.5,2.95,3.03
2021-06-28,Operário Ferroviário,Vila Nova,1.73,3.26,5.37
2021-06-28,Vasco da Gama,Brusque,1.89,3.21,4.37
2021-06-27,CSA,Cruzeiro,2.96,2.85,2.64
2021-06-27,Náutico,Clube Do Remo,1.57,3.60,6.5
2021-06-26,Vitória,Londrina,1.94,3.07,4.43
2021-06-26,Sampaio Corrêa,Botafogo,3.64,2.96,2.19
2021-06-26,Vila Nova,Goiás,4.74,3.00,1.9
2021-06-25,Grêmio Esportivo Brasil,Ponte Preta,3.46,2.77,2.37
2021-06-25,Guarani,Coritiba,2.4,2.86,3.31
2021-06-25,Operário Ferroviário,Confiança,1.88,3.14,4.56
2021-06-25,Avaí,CRB,1.84,3.37,4.37
2021-06-25,Cruzeiro,Vasco da Gama,2.38,2.87,3.33
2021-06-23,Londrina,Náutico,3.0,3.00,2.49
2021-06-23,Coritiba,Vitória,2.24,2.80,3.78
2021-06-23,CRB,Grêmio Esportivo Brasil,1.96,2.91,4.67
2021-06-23,Clube Do Remo,Guarani,2.83,2.84,2.77
2021-06-22,Goiás,Avaí,2.07,2.95,4.07
2021-06-22,Ponte Preta,Operário Ferroviário,2.6,2.81,3.06
2021-06-22,Brusque,Sampaio Corrêa,2.0,3.16,3.96
2021-06-22,Confiança,Vila Nova,1.89,3.16,4.57
2021-06-20,CSA,Londrina,1.98,3.14,4.1
2021-06-20,Náutico,Botafogo,2.19,3.05,3.5
2021-06-20,Sampaio Corrêa,Confiança,2.55,2.79,3.14
2021-06-20,Vila Nova,Coritiba,3.27,2.94,2.33
2021-06-19,Operário Ferroviário,Cruzeiro,2.98,2.84,2.62
2021-06-19,Vitória,Brusque,2.28,2.87,3.52
2021-06-19,Guarani,Ponte Preta,2.34,3.00,3.25
2021-06-19,Vasco da Gama,CRB,1.9,3.23,4.27
2021-06-19,Grêmio Esportivo Brasil,Goiás,3.48,2.73,2.4
2021-06-17,Londrina,Botafogo,3.54,2.92,2.25
2021-06-17,Ponte Preta,Cruzeiro,3.07,2.97,2.47
2021-06-16,Vasco da Gama,Avaí,1.96,3.17,4.13
2021-06-16,Operário Ferroviário,Sampaio Corrêa,1.91,3.02,4.71
2021-06-16,Clube Do Remo,Vitória,2.17,3.09,3.53
2021-06-16,Confiança,Grêmio Esportivo Brasil,2.05,2.95,4.15
2021-06-16,Goiás,CRB,1.99,3.14,4.04
2021-06-15,CSA,Guarani,2.35,2.95,3.3
2021-06-15,Náutico,Vila Nova,1.6,3.64,5.93
2021-06-13,Coritiba,Londrina,2.03,3.00,4.13
2021-06-13,Vitória,Operário Ferroviário,2.42,2.85,3.29
2021-06-13,Avaí,Brusque,1.99,3.15,4.03
2021-06-13,Botafogo,Clube Do Remo,1.81,3.26,4.76
2021-06-13,Cruzeiro,Goiás,2.05,3.15,3.83
2021-06-12,Grêmio Esportivo Brasil,Vasco da Gama,3.85,2.85,2.19
2021-06-12,Vila Nova,CSA,2.97,2.69,2.78
2021-06-12,CRB,Confiança,2.04,3.14,3.83
2021-06-12,Guarani,Náutico,2.26,2.97,3.45
2021-06-11,Sampaio Corrêa,Ponte Preta,3.26,2.93,2.38
2021-06-07,Vitória,Náutico,2.9,2.81,2.72
2021-06-06,Avaí,Vila Nova,1.95,3.19,4.15
2021-06-06,Cruzeiro,CRB,1.89,3.20,4.39
2021-06-06,Ponte Preta,Vasco da Gama,3.13,2.91,2.45
2021-06-06,Botafogo,Coritiba,2.23,2.89,3.67
2021-06-05,Clube Do Remo,Grêmio Esportivo Brasil,1.78,3.32,4.85
2021-06-05,CSA,Sampaio Corrêa,1.93,3.23,4.15
2021-06-05,Londrina,Brusque,2.43,2.70,3.5
2021-06-04,Goiás,Confiança,2.03,2.94,4.28
2021-06-01,Operário Ferroviário,Guarani,2.5,2.88,3.1
2021-05-31,Sampaio Corrêa,Goiás,3.16,3.00,2.39
2021-05-30,Brusque,Ponte Preta,2.46,2.97,3.04
2021-05-29,Coritiba,Avaí,2.45,2.93,3.13
2021-05-29,Confiança,Cruzeiro,4.03,3.00,2.05
2021-05-29,CRB,Clube Do Remo,2.1,3.06,3.7
2021-05-29,Vasco da Gama,Operário Ferroviário,1.72,3.35,5.21
2021-05-29,Náutico,CSA,1.96,3.20,4.03
2021-05-29,Vila Nova,Botafogo,2.89,2.90,2.65
2021-05-28,Guarani,Vitória,2.1,3.17,3.58
2021-05-28,Grêmio Esportivo Brasil,Londrina,3.07,2.78,2.59
